item_id,stockout_days,total_days,total_demand,units_short,fill_rate,avg_capital_tied_up,orders_placed,policy,item_name,category
I001,1,45,408,1,0.998,15634.7,3,seller,Rice 5kg,Staples
I001,3,45,408,15,0.963,12188.0,4,actual_replay,Rice 5kg,Staples
I001,16,45,408,109,0.733,2889.3,11,plain_rop,Rice 5kg,Staples
I001,4,45,408,40,0.902,5568.4,10,context_aware,Rice 5kg,Staples
I002,0,45,361,0,1.0,11256.4,4,seller,Wheat Atta 5kg,Staples
I002,1,45,361,2,0.994,9795.6,4,actual_replay,Wheat Atta 5kg,Staples
I002,16,45,361,97,0.731,2280.0,11,plain_rop,Wheat Atta 5kg,Staples
I002,4,45,361,28,0.922,4247.6,11,context_aware,Wheat Atta 5kg,Staples
I003,0,45,287,0,1.0,6615.6,4,seller,Toor Dal 1kg,Staples
I003,0,45,287,0,1.0,5887.6,4,actual_replay,Toor Dal 1kg,Staples
I003,8,45,287,43,0.85,1149.8,11,plain_rop,Toor Dal 1kg,Staples
I003,4,45,287,24,0.916,2805.1,11,context_aware,Toor Dal 1kg,Staples
I004,0,45,486,0,1.0,3023.1,4,seller,Sugar 1kg,Staples
I004,0,45,486,0,1.0,2770.1,4,actual_replay,Sugar 1kg,Staples
I004,16,45,486,138,0.716,602.0,12,plain_rop,Sugar 1kg,Staples
I004,7,45,486,51,0.895,1049.1,11,context_aware,Sugar 1kg,Staples
I005,3,45,406,21,0.948,6138.9,4,seller,Cooking Oil 1L,Staples
I005,5,45,406,38,0.906,4841.8,4,actual_replay,Cooking Oil 1L,Staples
I005,16,45,406,141,0.653,1970.2,8,plain_rop,Cooking Oil 1L,Staples
I005,5,45,406,39,0.904,3073.8,8,context_aware,Cooking Oil 1L,Staples
I006,0,45,460,0,1.0,1566.8,3,seller,Salt 1kg,Staples
I006,1,45,460,3,0.993,1262.8,3,actual_replay,Salt 1kg,Staples
I006,12,45,460,108,0.765,348.8,10,plain_rop,Salt 1kg,Staples
I006,0,45,460,0,1.0,755.2,11,context_aware,Salt 1kg,Staples
I007,4,45,268,10,0.963,3210.0,3,seller,Tea 250g,Staples
I007,6,45,268,36,0.866,3000.0,3,actual_replay,Tea 250g,Staples
I007,15,45,268,64,0.761,1256.0,7,plain_rop,Tea 250g,Staples
I007,11,45,268,58,0.784,1654.0,6,context_aware,Tea 250g,Staples
I008,16,45,776,266,0.657,1523.3,3,seller,Biscuits Pack,FMCG
I008,13,45,776,246,0.683,1448.9,3,actual_replay,Biscuits Pack,FMCG
I008,16,45,776,261,0.664,842.8,6,plain_rop,Biscuits Pack,FMCG
I008,11,45,776,165,0.787,1081.7,7,context_aware,Biscuits Pack,FMCG
I009,8,45,524,91,0.826,1861.2,3,seller,Namkeen 200g,FMCG
I009,12,45,524,111,0.788,1235.1,4,actual_replay,Namkeen 200g,FMCG
I009,15,45,524,158,0.698,746.7,6,plain_rop,Namkeen 200g,FMCG
I009,16,45,524,156,0.702,865.7,5,context_aware,Namkeen 200g,FMCG
I010,1,45,173,1,0.994,3111.8,3,seller,Detergent 1kg,FMCG
