date,item_id,units_sold,stockout_flag,promo_active,on_hand_start,on_hand_end,true_demand_uncensored
2025-09-01,I001,8,0,0,96,88,8
2025-09-02,I001,5,0,0,88,83,5
2025-09-03,I001,13,0,0,83,70,13
2025-09-04,I001,7,0,0,70,63,7
2025-09-05,I001,6,0,0,63,57,6
2025-09-06,I001,7,0,0,57,50,7
2025-09-07,I001,10,0,0,50,40,10
2025-09-08,I001,8,0,0,40,32,8
2025-09-09,I001,9,0,0,32,23,9
2025-09-10,I001,5,0,0,23,18,5
2025-09-11,I001,11,0,0,18,7,11
2025-09-12,I001,7,0,0,7,0,7
2025-09-13,I001,6,0,0,112,106,6
2025-09-14,I001,3,0,0,106,103,3
2025-09-15,I001,6,0,0,103,97,6
2025-09-16,I001,5,0,0,97,92,5
2025-09-17,I001,5,0,0,92,87,5
2025-09-18,I001,11,0,0,87,76,11
2025-09-19,I001,10,0,0,76,66,10
2025-09-20,I001,9,0,0,66,57,9
2025-09-21,I001,14,0,0,57,43,14
2025-09-22,I001,8,0,0,43,35,8
2025-09-23,I001,11,0,0,35,24,11
2025-09-24,I001,10,0,0,24,14,10
2025-09-25,I001,9,0,0,14,5,9
2025-09-26,I001,11,0,0,117,106,11
2025-09-27,I001,6,0,0,106,100,6
2025-09-28,I001,7,0,0,100,93,7
2025-09-29,I001,10,0,0,93,83,10
2025-09-30,I001,6,0,0,83,77,6
2025-10-01,I001,5,0,0,77,72,5
2025-10-02,I001,13,0,0,72,59,13
2025-10-03,I001,11,0,0,59,48,11
2025-10-04,I001,22,0,0,48,26,22
2025-10-05,I001,9,0,0,26,17,9
2025-10-06,I001,15,0,0,17,2,15
2025-10-07,I001,2,1,0,2,0,8
2025-10-08,I001,0,1,0,0,0,5
2025-10-09,I001,11,0,0,112,101,11
2025-10-10,I001,22,0,0,101,79,22
2025-10-11,I001,16,0,0,79,63,16
2025-10-12,I001,14,0,0,63,49,14
2025-10-13,I001,8,0,0,49,41,8
2025-10-14,I001,10,0,0,41,31,10
2025-10-15,I001,13,0,0,31,18,13
2025-10-16,I001,12,0,0,18,6,12
2025-10-17,I001,6,1,0,6,0,11
2025-10-18,I001,14,0,0,112,98,14
2025-10-19,I001,14,0,0,98,84,14
2025-10-20,I001,10,0,0,84,74,10
2025-10-21,I001,13,0,0,74,61,13
2025-10-22,I001,13,0,0,61,48,13
2025-10-23,I001,7,0,0,48,41,7
2025-10-24,I001,5,0,0,41,36,5
2025-10-25,I001,9,0,0,36,27,9
2025-10-26,I001,11,0,0,27,16,11
2025-10-27,I001,9,0,0,16,7,9
2025-10-28,I001,6,0,0,119,113,6
2025-10-29,I001,5,0,0,113,108,5
2025-10-30,I001,9,0,0,108,99,9
2025-10-31,I001,14,0,0,99,85,14
2025-11-01,I001,9,0,0,85,76,9
2025-11-02,I001,6,0,0,76,70,6
2025-11-03,I001,4,0,0,70,66,4
2025-11-04,I001,17,0,0,66,49,17
2025-11-05,I001,6,0,0,49,43,6
2025-11-06,I001,10,0,0,43,33,10
2025-11-07,I001,9,0,0,33,24,9
2025-11-08,I001,7,0,0,24,17,7
2025-11-09,I001,4,0,0,17,13,4
2025-11-10,I001,10,0,0,125,115,10
2025-11-11,I001,8,0,0,115,107,8
2025-11-12,I001,9,0,0,107,98,9
2025-11-13,I001,2,0,0,98,96,2
2025-11-14,I001,14,0,0,96,82,14
2025-11-15,I001,12,0,0,82,70,12
2025-11-16,I001,14,0,0,70,56,14
2025-11-17,I001,7,0,0,56,49,7
2025-11-18,I001,4,0,0,49,45,4
2025-11-19,I001,4,0,0,45,41,4
2025-11-20,I001,6,0,0,41,35,6
2025-11-21,I001,3,0,0,35,32,3
2025-11-22,I001,10,0,0,32,22,10
2025-11-23,I001,10,0,0,22,12,10
2025-11-24,I001,5,0,0,12,7,5
2025-11-25,I001,3,0,0,7,4,3
