date,item_id,promo_uplift
2026-06-05,I001,1.56
2026-06-06,I001,1.56
2026-06-07,I001,1.56
2026-06-08,I001,1.56
2026-02-05,I001,1.33
2026-02-06,I001,1.33
2026-02-07,I001,1.33
2026-03-08,I002,1.53
2026-03-09,I002,1.53
2026-03-10,I002,1.53
2026-03-11,I002,1.53
2026-03-12,I002,1.53
2026-05-15,I002,1.34
2026-05-16,I002,1.34
2026-05-17,I002,1.34
2026-05-18,I002,1.34
2026-05-19,I002,1.34
2026-06-28,I002,1.41
2026-06-29,I002,1.41
2026-06-30,I002,1.41
2026-07-01,I002,1.41
2025-11-05,I002,1.49
2025-11-06,I002,1.49
2025-11-07,I002,1.49
2025-11-08,I002,1.49
2025-11-09,I002,1.49
2026-06-22,I003,1.37
2026-06-23,I003,1.37
2026-06-24,I003,1.37
2026-06-25,I003,1.37
2026-02-06,I003,1.32
2026-02-07,I003,1.32
2026-02-08,I003,1.32
2026-03-18,I003,1.49
2026-03-19,I003,1.49
2026-03-20,I003,1.49
2026-03-21,I003,1.49
2026-03-22,I003,1.49
2025-10-30,I004,1.41
2025-10-31,I004,1.41
2025-11-01,I004,1.41
2025-11-02,I004,1.41
2025-11-03,I004,1.41
2025-09-25,I004,1.57
2025-09-26,I004,1.57
2025-09-27,I004,1.57
2025-09-28,I004,1.57
2025-09-29,I004,1.57
2026-05-01,I004,1.36
2026-05-02,I004,1.36
2026-05-03,I004,1.36
2026-05-04,I004,1.36
2026-05-05,I004,1.36
2026-01-09,I004,1.31
2026-01-10,I004,1.31
2026-01-11,I004,1.31
2026-01-12,I004,1.31
2025-10-26,I005,1.52
2025-10-27,I005,1.52
2025-10-28,I005,1.52
2025-10-29,I005,1.52
2025-10-30,I005,1.52
2026-05-03,I005,1.4
2026-05-04,I005,1.4
2026-05-05,I005,1.4
2026-05-06,I005,1.4
2026-08-13,I005,1.44
2026-08-14,I005,1.44
2026-08-15,I005,1.44
2026-08-16,I005,1.44
2026-08-17,I005,1.44
2026-06-12,I006,1.34
2026-06-13,I006,1.34
2026-06-14,I006,1.34
2026-05-04,I006,1.37
2026-05-05,I006,1.37
2026-05-06,I006,1.37
2026-05-07,I006,1.37
2026-03-22,I006,1.43
2026-03-23,I006,1.43
2026-03-24,I006,1.43
2026-03-25,I006,1.43
2026-03-26,I006,1.43
2026-06-26,I007,1.39
2026-06-27,I007,1.39
2026-06-28,I007,1.39
2026-06-29,I007,1.39
2026-05-09,I007,1.54
2026-05-10,I007,1.54
2026-05-11,I007,1.54
2026-05-12,I007,1.54
2026-05-13,I007,1.54
2026-06-29,I008,1.39
2026-06-30,I008,1.39
2026-07-01,I008,1.39
2026-07-02,I008,1.39
2025-11-25,I008,1.34
2025-11-26,I008,1.34
2025-11-27,I008,1.34
2025-11-28,I008,1.34
2025-11-29,I008,1.34
2026-06-26,I008,1.3
2026-06-27,I008,1.3
2026-06-28,I008,1.3
2026-06-13,I008,1.5
2026-06-14,I008,1.5
2026-06-15,I008,1.5
2026-06-16,I008,1.5
2026-06-17,I008,1.5
2026-05-11,I009,1.44
2026-05-12,I009,1.44
2026-05-13,I009,1.44
2026-06-07,I009,1.34
2026-06-08,I009,1.34
2026-06-09,I009,1.34
2026-06-10,I009,1.34
2026-03-23,I009,1.5
2026-03-24,I009,1.5
2026-03-25,I009,1.5
2026-04-23,I010,1.47
2026-04-24,I010,1.47
2026-04-25,I010,1.47
2026-04-26,I010,1.47
2025-09-29,I010,1.49
2025-09-30,I010,1.49
2025-10-01,I010,1.49
2025-10-02,I010,1.49
2025-10-03,I010,1.49
2026-03-18,I011,1.39
2026-03-19,I011,1.39
2026-03-20,I011,1.39
2026-03-20,I011,1.43
2026-03-21,I011,1.43
2026-03-22,I011,1.43
2026-03-23,I011,1.43
2025-09-12,I011,1.42
2025-09-13,I011,1.42
2025-09-14,I011,1.42
2025-09-15,I011,1.42
2025-09-16,I011,1.42
2026-08-22,I012,1.37
2026-08-23,I012,1.37
2026-08-24,I012,1.37
2026-08-25,I012,1.37
2026-08-26,I012,1.37
2026-06-22,I012,1.38
2026-06-23,I012,1.38
2026-06-24,I012,1.38
2025-12-15,I013,1.47
2025-12-16,I013,1.47
2025-12-17,I013,1.47
2025-12-18,I013,1.47
2026-04-25,I013,1.5
2026-04-26,I013,1.5
2026-04-27,I013,1.5
2026-04-28,I013,1.5
2026-06-08,I013,1.54
2026-06-09,I013,1.54
2026-06-10,I013,1.54
2026-06-11,I013,1.54
2026-01-24,I013,1.31
2026-01-25,I013,1.31
2026-01-26,I013,1.31
2025-10-08,I014,1.52
2025-10-09,I014,1.52
2025-10-10,I014,1.52
2026-05-08,I014,1.35
2026-05-09,I014,1.35
2026-05-10,I014,1.35
2026-05-11,I014,1.35
2026-02-27,I015,1.51
2026-02-28,I015,1.51
2026-03-01,I015,1.51
2026-03-02,I015,1.51
2026-03-03,I015,1.51
2025-10-25,I015,1.41
2025-10-26,I015,1.41
2025-10-27,I015,1.41
2025-10-28,I015,1.41
2026-02-07,I015,1.49
2026-02-08,I015,1.49
2026-02-09,I015,1.49
2025-12-17,I015,1.33
2025-12-18,I015,1.33
2025-12-19,I015,1.33
2025-12-20,I015,1.33
2026-01-01,I016,1.59
2026-01-02,I016,1.59
2026-01-03,I016,1.59
2026-01-10,I016,1.51
2026-01-11,I016,1.51
2026-01-12,I016,1.51
2026-01-13,I016,1.51
2026-01-14,I016,1.51
2026-02-11,I016,1.59
2026-02-12,I016,1.59
2026-02-13,I016,1.59
2026-06-06,I017,1.43
2026-06-07,I017,1.43
2026-06-08,I017,1.43
2026-05-15,I017,1.33
2026-05-16,I017,1.33
2026-05-17,I017,1.33
2026-05-18,I017,1.33
2026-05-19,I017,1.33
2026-02-08,I018,1.44
2026-02-09,I018,1.44
2026-02-10,I018,1.44
2026-02-11,I018,1.44
2026-02-12,I018,1.44
2026-05-11,I018,1.39
2026-05-12,I018,1.39
2026-05-13,I018,1.39
2026-03-27,I019,1.56
2026-03-28,I019,1.56
2026-03-29,I019,1.56
2026-03-30,I019,1.56
2025-11-03,I019,1.52
2025-11-04,I019,1.52
2025-11-05,I019,1.52
2026-05-30,I019,1.49
2026-05-31,I019,1.49
2026-06-01,I019,1.49
2026-06-02,I019,1.49
2026-02-02,I019,1.49
2026-02-03,I019,1.49
2026-02-04,I019,1.49
2026-04-14,I020,1.42
2026-04-15,I020,1.42
2026-04-16,I020,1.42
2026-06-09,I020,1.45
2026-06-10,I020,1.45
2026-06-11,I020,1.45
2025-11-07,I020,1.34
2025-11-08,I020,1.34
2025-11-09,I020,1.34
2025-10-08,I021,1.35
2025-10-09,I021,1.35
2025-10-10,I021,1.35
2026-03-30,I021,1.47
2026-03-31,I021,1.47
2026-04-01,I021,1.47
2026-07-29,I021,1.48
2026-07-30,I021,1.48
2026-07-31,I021,1.48
2026-08-01,I021,1.48
2026-01-03,I021,1.59
2026-01-04,I021,1.59
2026-01-05,I021,1.59
2026-01-28,I022,1.53
2026-01-29,I022,1.53
2026-01-30,I022,1.53
2026-01-31,I022,1.53
2025-09-24,I022,1.45
2025-09-25,I022,1.45
2025-09-26,I022,1.45
2026-02-23,I023,1.47
2026-02-24,I023,1.47
2026-02-25,I023,1.47
2026-02-26,I023,1.47
2026-08-02,I023,1.38
2026-08-03,I023,1.38
2026-08-04,I023,1.38
2026-08-05,I023,1.38
2026-02-17,I023,1.46
2026-02-18,I023,1.46
2026-02-19,I023,1.46
2026-02-20,I023,1.46
2026-02-21,I023,1.46
2025-12-28,I023,1.31
2025-12-29,I023,1.31
2025-12-30,I023,1.31
2025-12-31,I023,1.31
2026-01-01,I023,1.31
2026-01-09,I024,1.57
2026-01-10,I024,1.57
2026-01-11,I024,1.57
2026-01-12,I024,1.57
2026-01-13,I024,1.57
2026-03-14,I024,1.47
2026-03-15,I024,1.47
2026-03-16,I024,1.47
2025-12-23,I024,1.5
2025-12-24,I024,1.5
2025-12-25,I024,1.5
2025-12-10,I025,1.52
2025-12-11,I025,1.52
2025-12-12,I025,1.52
2026-04-25,I025,1.33
2026-04-26,I025,1.33
2026-04-27,I025,1.33
2026-04-28,I025,1.33
2026-04-29,I025,1.33
