po_id,item_id,supplier_id,date_ordered,date_expected,qty_ordered,lead_time_actual_days
PO00001,I001,S1,2025-09-07,2025-09-13,112,6
PO00002,I001,S1,2025-09-22,2025-09-26,112,4
PO00003,I001,S1,2025-10-04,2025-10-09,112,5
PO00004,I001,S1,2025-10-14,2025-10-18,112,4
PO00005,I001,S1,2025-10-24,2025-10-28,112,4
PO00006,I001,S1,2025-11-06,2025-11-10,112,4
PO00007,I001,S1,2025-11-20,2025-11-26,112,6
PO00008,I001,S1,2025-12-06,2025-12-11,112,5
PO00009,I001,S1,2025-12-19,2025-12-24,112,5
PO00010,I001,S1,2026-01-01,2026-01-04,112,3
PO00011,I001,S1,2026-01-12,2026-01-15,112,3
PO00012,I001,S1,2026-01-26,2026-01-30,112,4
PO00013,I001,S1,2026-02-07,2026-02-13,112,6
PO00014,I001,S1,2026-02-20,2026-02-24,112,4
PO00015,I001,S1,2026-03-05,2026-03-10,112,5
PO00016,I001,S1,2026-03-18,2026-03-21,112,3
PO00017,I001,S1,2026-03-30,2026-04-02,112,3
PO00018,I001,S1,2026-04-11,2026-04-15,112,4
PO00019,I001,S1,2026-04-24,2026-04-30,112,6
PO00020,I001,S1,2026-05-09,2026-05-14,112,5
PO00021,I001,S1,2026-05-21,2026-05-23,112,2
PO00022,I001,S1,2026-06-04,2026-06-09,112,5
PO00023,I001,S1,2026-06-17,2026-06-20,112,3
PO00024,I001,S1,2026-06-29,2026-07-02,112,3
PO00025,I001,S1,2026-07-10,2026-07-14,112,4
PO00026,I001,S1,2026-07-22,2026-07-27,112,5
PO00027,I001,S1,2026-08-06,2026-08-11,112,5
PO00028,I001,S1,2026-08-17,2026-08-21,112,4
PO00029,I001,S1,2026-08-30,2026-09-03,112,4
PO00030,I002,S1,2025-09-07,2025-09-12,98,5
PO00031,I002,S1,2025-09-23,2025-09-26,98,3
PO00032,I002,S1,2025-10-05,2025-10-10,98,5
PO00033,I002,S1,2025-10-14,2025-10-17,98,3
PO00034,I002,S1,2025-10-23,2025-10-27,98,4
PO00035,I002,S1,2025-11-04,2025-11-08,98,4
PO00036,I002,S1,2025-11-14,2025-11-17,98,3
PO00037,I002,S1,2025-11-28,2025-12-02,98,4
PO00038,I002,S1,2025-12-10,2025-12-14,98,4
PO00039,I002,S1,2025-12-22,2025-12-26,98,4
PO00040,I002,S1,2026-01-06,2026-01-10,98,4
PO00041,I002,S1,2026-01-15,2026-01-20,98,5
PO00042,I002,S1,2026-01-30,2026-02-05,98,6
PO00043,I002,S1,2026-02-13,2026-02-18,98,5
PO00044,I002,S1,2026-02-27,2026-03-03,98,4
PO00045,I002,S1,2026-03-10,2026-03-13,98,3
PO00046,I002,S1,2026-03-23,2026-03-28,98,5
PO00047,I002,S1,2026-04-06,2026-04-11,98,5
PO00048,I002,S1,2026-04-19,2026-04-24,98,5
PO00049,I002,S1,2026-05-02,2026-05-05,98,3
PO00050,I002,S1,2026-05-15,2026-05-20,98,5
PO00051,I002,S1,2026-05-30,2026-06-04,98,5
PO00052,I002,S1,2026-06-13,2026-06-16,98,3
PO00053,I002,S1,2026-06-25,2026-06-30,98,5
PO00054,I002,S1,2026-07-09,2026-07-12,98,3
PO00055,I002,S1,2026-07-22,2026-07-26,98,4
PO00056,I002,S1,2026-08-02,2026-08-05,98,3
PO00057,I002,S1,2026-08-14,2026-08-18,98,4
PO00058,I002,S1,2026-08-28,2026-09-01,98,4
PO00059,I003,S1,2025-09-07,2025-09-11,84,4
PO00060,I003,S1,2025-09-24,2025-09-29,84,5
PO00061,I003,S1,2025-10-06,2025-10-11,84,5
PO00062,I003,S1,2025-10-15,2025-10-18,84,3
PO00063,I003,S1,2025-10-23,2025-10-27,84,4
PO00064,I003,S1,2025-11-04,2025-11-07,84,3
PO00065,I003,S1,2025-11-18,2025-11-22,84,4
PO00066,I003,S1,2025-12-02,2025-12-06,84,4
PO00067,I003,S1,2025-12-15,2025-12-18,84,3
PO00068,I003,S1,2025-12-27,2025-12-31,84,4
PO00069,I003,S1,2026-01-08,2026-01-12,84,4
PO00070,I003,S1,2026-01-21,2026-01-25,84,4
PO00071,I003,S1,2026-02-03,2026-02-08,84,5
PO00072,I003,S1,2026-02-16,2026-02-20,84,4
PO00073,I003,S1,2026-03-01,2026-03-06,84,5
PO00074,I003,S1,2026-03-15,2026-03-20,84,5
PO00075,I003,S1,2026-03-25,2026-03-30,84,5
PO00076,I003,S1,2026-04-07,2026-04-11,84,4
PO00077,I003,S1,2026-04-20,2026-04-23,84,3
PO00078,I003,S1,2026-05-03,2026-05-06,84,3
PO00079,I003,S1,2026-05-17,2026-05-20,84,3
PO00080,I003,S1,2026-05-30,2026-06-04,84,5
PO00081,I003,S1,2026-06-12,2026-06-17,84,5
PO00082,I003,S1,2026-06-23,2026-06-27,84,4
PO00083,I003,S1,2026-07-04,2026-07-07,84,3
PO00084,I003,S1,2026-07-18,2026-07-22,84,4
PO00085,I003,S1,2026-07-29,2026-08-03,84,5
PO00086,I003,S1,2026-08-10,2026-08-14,84,4
PO00087,I003,S1,2026-08-24,2026-08-29,84,5
PO00088,I004,S1,2025-09-07,2025-09-14,126,7
PO00089,I004,S1,2025-09-24,2025-09-28,126,4
PO00090,I004,S1,2025-10-03,2025-10-05,126,2
PO00091,I004,S1,2025-10-12,2025-10-15,126,3
PO00092,I004,S1,2025-10-22,2025-10-26,126,4
PO00093,I004,S1,2025-11-03,2025-11-07,126,4
PO00094,I004,S1,2025-11-16,2025-11-20,126,4
PO00095,I004,S1,2025-11-29,2025-12-03,126,4
PO00096,I004,S1,2025-12-13,2025-12-16,126,3
PO00097,I004,S1,2025-12-25,2025-12-29,126,4
PO00098,I004,S1,2026-01-06,2026-01-11,126,5
PO00099,I004,S1,2026-01-17,2026-01-22,126,5
PO00100,I004,S1,2026-01-30,2026-02-04,126,5
PO00101,I004,S1,2026-02-14,2026-02-17,126,3
